window,timestamp,close,adx,bbw,primary_bbw_percentile,pooled_bbw_percentile,bbw_ratio_to_history_mean,atr_ratio_20,raw_detect,current_regime,squeeze_miss_reason
RANGING,2025-01-13 04:00:00+00:00,93590.24,23.961337572551592,0.018955138041666673,0.19157088122605362,3.629257398101619,0.26142328270331316,0.8693575254774594,,TRENDING,bbw_ratio_too_high
MIXED,2025-06-28 16:00:00+00:00,107225.74,18.80688733987485,0.011258952007984829,0.2403846153846154,0.3908431044109436,0.1872744799395841,0.7496062230997089,RANGING,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-10-15 08:00:00+00:00,26852.47,21.500172022237308,0.010814922953796002,0.27932960893854747,0.1954215522054718,0.3356862383950331,0.7261645159453615,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 08:00:00+00:00,90754.99,17.613179340829674,0.011164548304980511,0.2808988764044944,0.33500837520938026,0.2413323191817449,0.6819673684450817,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-28 12:00:00+00:00,107449.28,18.778931364591593,0.011276971205801222,0.3205128205128205,0.41876046901172526,0.18551051341881597,0.7711084074975809,RANGING,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-10-14 16:00:00+00:00,26864.29,23.840279428640237,0.010838341047663898,0.37243947858473,0.2233389168062535,0.32059126582909425,0.8010812229077948,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 04:00:00+00:00,90710.79,19.467984273781838,0.011203234979466039,0.37453183520599254,0.3629257398101619,0.2375780874593214,0.7087373520465164,RANGING,RANGING,bbw_ratio_too_high
RANGING,2025-02-17 00:00:00+00:00,96215.33,18.333619895694824,0.019913899474815595,0.38314176245210724,4.46677833612507,0.6173966198223055,0.7899610916187823,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-28 08:00:00+00:00,107373.39,19.41928663097456,0.012655866183305406,0.4006410256410256,0.4745951982132886,0.20626640480765895,0.7817613335089875,RANGING,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-10-15 12:00:00+00:00,26898.87,20.311491251165624,0.011041367683054942,0.4655493482309125,0.27917364600781686,0.34678757092127177,0.7477212336474418,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-04-05 16:00:00+00:00,67361.01,16.033453079753496,0.012874189806319568,0.46816479400749067,0.5583472920156337,0.3268344957044238,0.7745569001715754,RANGING,TRENDING,bbw_ratio_too_high
MIXED,2025-06-29 12:00:00+00:00,107750.72,20.99832473454555,0.013429614700366401,0.4807692307692308,0.7537688442211055,0.24293050864961582,0.7646009092365467,,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-12-24 16:00:00+00:00,43618.07,16.089850775108072,0.012393482569927094,0.5586592178770949,0.446677833612507,0.24143512231813014,0.7660276481355355,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-29 16:00:00+00:00,107406.81,20.905452941568576,0.013444679379165275,0.5608974358974359,0.7816862088218872,0.24973803999910207,0.761635795827585,,RANGING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 00:00:00+00:00,90733.5,20.2633608262453,0.012909400843984608,0.5617977528089888,0.5862646566164154,0.26843230355079534,0.7346567822035106,,TRENDING,bbw_ratio_too_high
RANGING,2025-03-23 12:00:00+00:00,85189.41,13.437026742351483,0.0210873012161722,0.5747126436781609,5.443886097152429,0.46536342346788245,0.728811835087635,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-29 08:00:00+00:00,108477.11,18.362270859594947,0.013583947813691523,0.641025641025641,0.809603573422669,0.23968221119348954,0.7354701105665944,RANGING,RANGING,bbw_ratio_too_high
